,hospital,location,network,type
0,Helsingin seudun yliopistollinen keskussairaala,Helsinki,Helsingin seudun yliopistollinen keskussairaala,general hospital
1,Turun yliopistollinen keskussairaala,Turku,Turun yliopistollinen keskussairaala,general hospital
2,Oulun yliopistollinen sairaala,Oulu,Oulun yliopistollinen sairaala,general hospital
3,Tampereen yliopistollinen sairaala,Tampere,Tampereen yliopistollinen sairaala,general hospital
4,Kuopion yliopistollinen sairaala,Kuopio,Kuopion yliopistollinen sairaala,general hospital
5,Kymenlaakson keskussairaala,Kotka,,general hospital
6,Etelä-Karjalan keskussairaala,Lappeenranta,,general hospital
7,Päijät-Hämeen keskussairaala,Lahti,,general hospital
8,Kanta-Hämeen keskussairaala,Hämeenlinna,,general hospital
9,Satasairaala,Pori,,general hospital
10,Lapin keskussairaala,Rovaniemi,,general hospital
11,Vaasan keskussairaala,Vaasa,,general hospital
12,Seinäjoen keskussairaala,Seinäjoki,,general hospital
13,Keski-Pohjanmaan keskussairaala,Kokkola,,general hospital
14,Keski-Suomen Sairaala Nova,Jyväskylä,,general hospital
15,Mikkelin keskussairaala,Mikkeli,,general hospital
16,Savonlinnan keskussairaala,Savonlinna,,general hospital
17,Pohjois-Karjalan keskussairaala,Joensuu,,general hospital
18,Kainuun keskussairaala,Kajaani,,general hospital
19,Ahvenanmaan keskussairaala,Maarianhamina,,general hospital
20,Länsi-Pohjan keskussairaala,Kemi,,general hospital
21,Grelsby sjukhus,Finström,,general hospital
22,Seinäjoen kaupunginsairaala,Seinäjoki,,general hospital
23,Moision sairaala,Mikkeli,,general hospital
24,Pieksämäen aluesairaala,Pieksämäki,,general hospital
25,Auroran sairaala,Helsinki,,general hospital
26,Haartmanin sairaala,Helsinki,,general hospital
27,HYKS Psykiatriakeskus,Helsinki,Helsingin seudun yliopistollinen keskussairaala,psychiatric hospital
28,Iho- ja allergiasairaala,Helsinki,Helsingin seudun yliopistollinen keskussairaala,skin and allergy hospital
29,Kirurginen sairaala,Helsinki,Helsingin seudun yliopistollinen keskussairaala,general hospital
30,Kätilöopiston sairaala,Helsinki,Helsingin seudun yliopistollinen keskussairaala,general hospital
31,Malmin sairaala,Helsinki,,general hospital
32,Naistenklinikka,Helsinki,Helsingin seudun yliopistollinen keskussairaala,women's hospital
33,Ortonin sairaala,Helsinki,,private hospital
34,Puistosairaala,Helsinki,Helsingin seudun yliopistollinen keskussairaala,general hospital
35,Silmä-korvasairaala,Helsinki,Helsingin seudun yliopistollinen keskussairaala,eye and ear hospital
36,Siltasairaala,Helsinki,Helsingin seudun yliopistollinen keskussairaala,general hospital
37,Suursuon sairaala,Helsinki,,general hospital
38,Syöpätautien klinikka,Helsinki,Helsingin seudun yliopistollinen keskussairaala,general hospital
39,Töölön sairaala,Helsinki,Helsingin seudun yliopistollinen keskussairaala,general hospital
40,Uusi lastensairaala,Helsinki,Helsingin seudun yliopistollinen keskussairaala,children's hospital
41,Espoon sairaala,Espoo,,general hospital
42,Jorvin sairaala,Espoo,Helsingin seudun yliopistollinen keskussairaala,general hospital
43,Katriinan sairaala,Vantaa,,general hospital
44,Kiljavan sairaala,Nurmijärvi,,general hospital
45,Kellokosken sairaala,Tuusula,,general hospital
46,Lohjan sairaala,Lohja,,general hospital
47,Raaseporin sairaala,Raasepori,,general hospital
48,Peijaksen sairaala,Vantaa,Helsingin seudun yliopistollinen keskussairaala,general hospital
49,Porvoon sairaala,Porvoo,,general hospital
50,Hyvinkään sairaala,Hyvinkää,,general hospital
51,Forssan sairaala,Forssa,,general hospital
52,Riihimäen sairaala,Riihimäki,Kanta-Hämeen keskussairaala,general hospital
53,Vanajaveden sairaala,Hämeenlinna,,general hospital
54,Jokilaakson sairaala,Jämsä,,private hospital
55,Kymenlaakson psykiatrinen sairaala,Kouvola,,psychiatric hospital
56,Ratamokeskus,Kouvola,,general hospital
57,Muurolan sairaala,Rovaniemi,,general hospital
58,Keroputaan sairaala,Tornio,,general hospital
59,Hatanpään sairaala,Tampere,Tampereen yliopistollinen sairaala,general hospital
60,Pitkäniemen sairaala,Nokia,Tampereen yliopistollinen sairaala,general hospital
61,Sastamalan sairaala,Sastamala,Tampereen yliopistollinen sairaala,general hospital
62,Tekonivelsairaala Coxa,Tampere,,general hospital
63,Sydänsairaala,Tampere,,private cardiological hospital
64,Valkeakosken sairaala,Valkeakoski,Tampereen yliopistollinen sairaala,general hospital
65,Kotilahden sairaala,Joensuu,,general hospital
66,Kontinkankaan sairaala,Oulu,,general hospital
67,Lastenklinikka,Oulu,Oulun yliopistollinen sairaala,children's hospital
68,Psykiatrian klinikka,Oulu,Oulun yliopistollinen sairaala,psychiatric hospital
69,Raahen aluesairaala,Raahe,,general hospital
70,Julkulan sairaala,Kuopio,Kuopion yliopistollinen sairaala,general hospital
71,Alavan sairaala,Kuopio,Kuopion yliopistollinen sairaala,general hospital
72,Iisalmen sairaala,Iisalmi,,general hospital
73,Kuopion psykiatrian keskus,Kuopio,,general hospital
74,Varkauden sairaala,Varkaus,,general hospital
75,Lahden kaupunginsairaala,Lahti,,general hospital
76,Harjavallan sairaala,Harjavalta,,general hospital
77,Porin kaupunginsairaala,Pori,,general hospital
78,Rauman aluesairaala,Rauma,,general hospital
79,Malmin sairaala,Pietarsaari,,general hospital
80,Pietarsaaren sairaala,Pietarsaari,,general hospital
81,Selkämeren aluesairaala,Kristiinankaupunki,,general hospital
82,Halikon sairaala,Salo,,general hospital
83,Kirurginen sairaala,Turku,Turun yliopistollinen keskussairaala,surgery and general hospital
84,Loimaan sairaala,Loimaa,Turun yliopistollinen keskussairaala,general hospital
85,Raision sairaala,Raisio,Turun yliopistollinen keskussairaala,general hospital
86,Salon sairaala,Salo,Turun yliopistollinen keskussairaala,general hospital
87,Turun kaupunginsairaala,Turku,,general hospital
88,Turunmaan sairaala,Turku,Turun yliopistollinen keskussairaala,general hospital
89,Vakka-Suomen sairaala,Uusikaupunki,Turun yliopistollinen keskussairaala,general hospital
90,Niuvanniemen sairaala,Kuopio,,general hospital
91,Psykiatrinen vankisairaala,Turku ja Vantaa,,psychiatric hospital
92,Vanhan Vaasan sairaala,Vaasa,,general hospital
93,Vankisairaala,Hämeenlinna,,inmate hospital
94,Eiran sairaala,Helsinki,,private hospital
95,Docrates Syöpäsairaala,Helsinki,,private oncological hospital
96,Jokilaakson sairaala,Jämsä,,private hospital
97,Kaunialan Sairaala,Kauniainen,,private hospital
98,Pihlajalinna,Helsinki,,private hospital
99,Pihlajalinna,Tampere,,private hospital
100,Pihlajalinna,Oulu,,private hospital
101,Pihlajalinna,Kuopio,,private hospital
102,Pihlajalinna,Turku,,private hospital
